"Notion ou terme à définir",Définition,"Autres explications, exemples, etc. (N/A si vide)"
"Active (pédagogie)","<p dir=""ltr"" style=""text-align:left;"">Ensemble des méthodes pédagogiques qui ont toutes en commun la volonté de rendre l’étudiant acteur de ses apprentissages.</p>
<p dir=""ltr"" style=""text-align:left;""><em>(Opposé à : expositive, démonstrative)</em><br /></p>","<p dir=""ltr"" style=""text-align:left;"">Exemples de méthodes actives :</p><ul><li>Pédagogie par projet<br /></li><li>Apprentissage par problèmes</li><li>Étude de cas</li><li>Jeu de rôle et autres serious games</li><li>etc.<br /></li></ul>"
"Jeu de plateau","<p dir=""ltr"" style=""text-align:left;"">Type de jeu de société désigné par son support : une aire de jeu (matérielle ou virtuelle) sur laquelle se déroule l’action (jet de dés, déplacement de pions, tirage et positionnement de cartes, etc.).<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Les jeux de plateaux peuvent être décrits dans plusieurs sous catégories, non-exclusives, par exemple :</p><ul><li>Parcours : les joueurs doivent suivre un parcours linéaire ou non pour atteindre un but (jeu de l’oie, échelles, petits chevaux, Trivial Pursuit, etc.)</li><li>Circuit : il est possible de faire plusieurs fois le tours d’un circuit ; l’objectif n’est pas nécessairement d’arriver à la fin, mais d’atteindre des objectifs permis par les déplacements (Monopoly, etc.)</li><li>Connexions : différentes cases sont reliées entre elles et permettent des déplacements sur le plateau, pour accomplir des objectifs (piéger l’adversaire, aligner des pions par exemple, à l’instar du jeu de marelle)</li><li>Casés : le plateau présente des cases sur lesquelles déplacer ou placer des pions et autres objets (échecs, dames, go, awélé, etc.)</li><li>Territoires : le plateau incarne à la fois une carte et des territoires, à occuper ou à visiter avec des pions et autres objets (Risk, dames chinoises, etc.)<br /></li></ul>"
"Jeu de cartes","<p dir=""ltr"" style=""text-align:left;"">Type de jeu de société désigné par son support, exclusivement ou principalement composé de cartes représentant des symboles, quantités, qualités, etc.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Les jeux de cartes peuvent être décrits selon plusieurs catégories, non-exclusives, par exemple :</p><ul><li>familiaux (Uno, sept familles, etc.)</li><li>stratégie (Magic, Mille bornes, Tarot, etc.)<br /></li><li>ambiance (Time’s up, Blanc Manger Coco, etc.)<br /></li><li>connaissances (Incollables, etc.)<br /></li><li>déduction (Code Names, Tabou, etc.)<br /></li></ul>"
"Coopératif (jeu)","<p dir=""ltr"" style=""text-align:left;"">Jeu dans lequel un groupe de personnes partagent un objectif commun et agissent ensemble pour l’atteindre.<br /></p>","<ul><li>Fort boyard, chasse au trésor, escape room, etc.</li><li>Gamelle (jeu de plein air de type cache-cache)<br /></li><li>The Mind (jeu de cartes dans lequel les joueurs doivent poser toutes les cartes</li></ul><p>Ces types de jeux peuvent être matérialisés et adaptés sur tous supports.<br /></p>"
"Jeu de rôle","<p dir=""ltr"" style=""text-align:left;"">Type de jeu basé sur l’interprétation de rôles, selon des règles précises.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Dans les jeux de rôle, un rôle équivaut souvent à une liste exhaustives de compétences ou de capacités d’actions, à un statut précis, et confère des accès spécifiques à des ressources ou à des outils. <br /></p><p dir=""ltr"" style=""text-align:left;"">Au delà de ses fonctions à l’intérieur des règles du jeu, le rôle a une fonction immersive lorsqu’il est ""incarné"" par le joueur, en faisant appel à l’imagination des participants.</p>"
Immersion,"<p dir=""ltr"" style=""text-align:left;"">État psychologique caractérisé par le fait de se percevoir comme enveloppé, inclus dans et en interaction avec un environnement qui fournit continuellement un flux de stimuli et d’expérience.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">L’immersion est un ressort favorisant l’engagement, et l’un des éléments de l’état de flow : le joueur est absorbé par la tâche qu’il réalise, et toute son attention lui est dévouée.</p><p dir=""ltr"" style=""text-align:left;"">C’est l’action elle-même, le fait d’agir en immersion, qui devient alors l’objet du plaisir du jeu, et non l’éventuelle récompense liée au succès dans le jeu.</p><p dir=""ltr"" style=""text-align:left;"">Générer de l’immersion nécessite que le game design permette une forme d’équilibre entre le défi proposé par le jeu, et la capacité du participant à relever ce défi :</p><ul><li>s’il est déjà capable de le relever, l’immersion, le flow et l’engagement laissent place à la satisfaction immédiate de réussir avec facilité, puis à l’ennui et au désintérêt</li><li>s’il est incapable de le relever, ou n’a pas les moyens de progresser dans ce but, c’est la frustration, et à nouveau le désintérêt, qui s’imposent.<br /></li></ul>"
"Faiblesses ludiques et pédagogiques","<p dir=""ltr"" style=""text-align:left;"">Limites et problèmes répertoriés par M. Lavigne (Enseignant-chercheur spécialiste de la ludopédagogie, Université Toulouse) à l’utilisation pédagogique des serious games, du point de vue des participants.</p>
<p>Il ressort de <a href=""https://halshs.archives-ouvertes.fr/halshs-02078300/document"" target=""_blank"" rel=""noreferrer noopener"">cet article</a> que ""l’efficacité des serious games prête à suspicion"" : en effet la moindre discontinuité entre le caractère ludique et les objectifs sérieux est systématiquement vécue comme une mauvaise expérience de jeu et/ou d’apprentissage par les participants. <br />La plupart voient dans ce cas <strong>les aspects ludiques comme un frein à l’apprentissage, et les aspects sérieux comme un frein au jeu</strong>. <br /></p>
<p>L’utilisation du jeu comme activité d’apprentissage doit donc être parfaitement justifiée d’un point de vue pédagogique.<br /></p>","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">En
 se fondant sur de nombreuses données quantitatives, l’auteur remarque 
notamment qu’une activité ludifiée ou un jeu sérieux est généralement 
perçu comme :</p><ul><li>un
 piège, un vernis, une mauvaise idée, par les joueurs avertis, dont les 
critères d’acceptation des mécaniques ludiques sont très sévères, et qui
 sont généralement peu réceptifs au serious game car souvent déçus par 
leur pauvre qualité ludique.<br /></li><li>un
 parasitage qui détourne l’attention des contenus sérieux, par les 
participants souhaitant avant tout atteindre les objectifs pédagogiques :
 autant consulter directement les ressources plutôt que perdre du temps à
 batailler avec un jeu mal fait.</li></ul><p>Ces retours globalement négatifs de la part des participants proviennent d’après l’auteur de différents écueils perçus :</p><h5>La pauvreté des modalités ludiques des serious games : <br /></h5>Les étudiants sont les plus sévères sur la qualité ludique des jeux (perçus comme ""faux jeux"", décevants, ne fonctionnant pas réellement comme des jeux).<br /><p>Lorsque les décors, ou les éléments du jeu sont de bonne qualité (cartes, graphismes, etc.), ils sont souvent perçus comme un vernis, derrière lequel se trouvent des activités moins engageantes comme des qcm. Les éléments ludiques ne servent alors que de décor, et n’ont aucune valeur pédagogique.</p><p>L’équilibrage de la difficulté, lié à la linéarité des jeux, est aussi visé et mal vécu par les participants : la pratique systématique des faux-choix fait que quelles que soient les décisions ou actions réalisées, on arrive toujours à la (même) fin, ce qui enlève tout enjeu et rend le jeu facile et inintéressant. Ici, la fonction première des éléments ludiques (engager et motiver) est perdue.</p><h5>Les faiblesses pédagogiques</h5><p>Les aspects ludiques sont la plupart du temps perçus comme des obstacles à l’apprentissage : des énigmes trop compliquées, peu ou pas alignées avec les contenus d’apprentissage, des mécaniques de jeu non pertinentes vis-à-vis des objectifs pédagogiques, deviennent des freins. Un travail de dégamification est nécessaire pour centrer le jeu sur l’apprentissage, et non sur ses propres mécaniques.</p><p>De la même manière, de nombreux jeux ne servent que de parcours ludiques composés d’obstacles à la fin desquels on débouche sur des contenus sérieux : ""récupérer directement les documents en ligne est plus efficace que de perdre du temps inutilement"".</p><p>La conclusion à tirer est que la pertinence d’un jeu sérieux, de ses règles, de ses supports, de son contenu, etc., n’est jamais garantie, à partir du moment ou tous ces éléments ne sont pas strictement et systématiquement alignés sur les objectifs pédagogiques : il ne sert à rien de faire un jeu juste pour faire un jeu, <strong>les aspects ludiques doivent toujours correspondre à des objectifs d’apprentissage clairement identifiés</strong>.<br /></p><p></p>"
"Jeu de tuiles","<p dir=""ltr"" style=""text-align:left;"">Jeu consistant à déposer des pièces plates et rigides (les tuiles) sur une surface de jeu en fonction de règles spécifiques à la surface ou à la nature des tuiles (valeur numérique indiquée, qualité, etc.).<br />Deux jeux de tuiles célèbres : domino, et mah-jong.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Ces jeux peuvent par exemple être utilisés pour apprendre les relations entre des objets d’apprentissages (notions, matériaux, éléments chimiques, lois, etc.).<br /></p>"
"Règle du jeu","<p dir=""ltr"" style=""text-align:left;"">Ensemble des principes et consignes qui régissent les conditions de déroulement d’un jeu.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Les règles d’un jeu contiennent le cas échéant des indications précises sur (liste non-exhaustive) :</p><ul><li>Nombre de joueurs</li><li>Terrain (ou cadre spatial)</li><li>Durée (ou cadre temporel)</li><li>Matériel, supports<br /></li><li>But du jeu<br /></li><li>Conditions et modalités d’action pour les joueurs<br /></li><li>Déroulement (d’une situation initiale à une situation de finale)</li><li>Conditions de fin de partie</li><li>Variantes possibles</li><li>etc.<br /></li></ul>"
"Serious gaming","<p dir=""ltr"" style=""text-align:left;"">Fait d’associer a posteriori une fonction utilitaire à un jeu déjà existant, en l’utilisant ou le détournant pour un but autre que le simple divertissement.<br /></p>",
"Jeu éducatif","<p dir=""ltr"" style=""text-align:left;"">Utilisation du jeu pour générer de l’apprentissage, sans que l’intention éducative ne soit perceptible par les participants.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Son but est de démystifier l’apprentissage, notamment à l’intention de ceux qui présentent des difficultés face aux situations structurées et contraintes d’apprentissage (par exemple, la phobie scolaire, les troubles orthophoniques, etc.).<br /></p>"
"Jeu pédagogique","<p dir=""ltr"" style=""text-align:left;"">Activité de réinvestissement des connaissances et savoir-faire acquis, utilisant le jeu en suivant des objectifs pédagogiques précis et connus des participants, notamment des objectifs de performance.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Le jeu pédagogique utilise les fonctions ludiques du jeu pour engager les participants via le plaisir du défi et de la performance.</p><p dir=""ltr"" style=""text-align:left;"">Son but est de solliciter, renforcer et tester les acquis des participants.</p><p dir=""ltr"" style=""text-align:left;"">Ils prennent souvent la forme de simulations et de jeux de rôles, dans une démarche d’intégration : proposer des situations complexes dans lesquelles les participants sont menés à mobiliser divers acquis pour agir efficacement.<br /></p>"
"Jeu d’apprentissage","<p dir=""ltr"" style=""text-align:left;"">1/Notion commerciale désignant tout jeu (support) destiné à générer de l’apprentissage, notamment chez les enfants (jeux d’éveil, etc.).</p><p dir=""ltr"" style=""text-align:left;"">2/Notion didactique désignant la situation d’enseignement comme un contrat passé entre les élèves et le professeur pour travailler ensemble à obtenir un gain : développer des connaissances chez les élèves.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Dans les deux acceptions, cette notion ne renvoie pas nécessairement à celle d’apprentissage par le jeu, bien que des jeux d’apprentissage puissent être utilisés dans un contexte d’apprentissage par le jeu.</p><p dir=""ltr"" style=""text-align:left;"">En didactique, l’utilisation du terme ""jeu"" ne désigne pas une l’activité ludique, mais sert à décrire les différents paramètres de la situation d’enseignement comme une situation où professeur et élèves partagent un même enjeu (apprendre) et coopèrent pour gagner (c’est-à-dire pour que les élèves apprennent) : on regarde et on modélise la situation didactique comme un jeu, ce qui permet d’utiliser des concepts propres au jeu (règles, gains, contrat, etc.) pour la décrire.<br /></p><p dir=""ltr"" style=""text-align:left;""><span style=""color:rgb(239,69,64);"">La notion ""jeu d’apprentissage"" n’étant pas réellement utilisée en pédagogie ou en sciences de l’éducation, nous nous l’approprierons ici pour désigner toute </span><strong><span style=""color:rgb(239,69,64);"">pratique consistant à scénariser et mettre en œuvre une activité, une séance ou une séquence d’apprentissage sous la forme d’un jeu unifié</span></strong><span style=""color:rgb(239,69,64);""> (avec un début, un déroulement, et une fin).</span><br /></p>"
"Apprentissage par le jeu","<p dir=""ltr"" style=""text-align:left;"">Concept des sciences de l’éducation et de la psychologie désignant le fait d’acquérir des ressources cognitives et des compétences par l’activité de jeu, notamment durant l’enfance.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Dans ce cadre, le jeu est opposé au travail, dans le sens où il n’est pas vécu comme contraint, et suscite du plaisir par l’amusement.<br /></p>"
